,filepath,rocauc,brocauc,prauc,bprauc,f1,tn,fp,fn,tp
107,../logs/pretrain/163/regression_output_epoch_30_2020-07-07-16-14-40.csv,0.8432432432432433,0.7536,0.5933518098218931,0.6949937675149107,0.6557377049180328,58,16,5,20
108,../logs/pretrain/163/regression_output_epoch_40_2020-07-07-16-14-55.csv,0.8454054054054053,0.8191999999999999,0.5956089113428448,0.8051002590170555,0.6557377049180328,58,16,5,20
109,../logs/pretrain/163/regression_output_epoch_50_2020-07-07-16-15-10.csv,0.8464864864864865,0.7871999999999999,0.5990572696970855,0.7199633474792178,0.6774193548387097,58,16,4,21
110,../logs/pretrain/164/regression_output_epoch_10_2020-07-07-16-15-59.csv,0.8345945945945946,0.8608,0.5777401391964522,0.8637550071343756,0.6129032258064517,56,18,6,19
111,../logs/pretrain/164/regression_output_epoch_20_2020-07-07-16-16-15.csv,0.8383783783783784,0.7584,0.588343751929796,0.6948849782893802,0.6,57,17,7,18
112,../logs/pretrain/164/regression_output_epoch_30_2020-07-07-16-16-30.csv,0.8389189189189189,0.824,0.5912403790304828,0.7525037341052945,0.6101694915254237,58,16,7,18
113,../logs/pretrain/164/regression_output_epoch_40_2020-07-07-16-16-45.csv,0.8432432432432433,0.8912,0.6557491758891844,0.8835550560118555,0.6,57,17,7,18
114,../logs/pretrain/164/regression_output_epoch_50_2020-07-07-16-17-00.csv,0.8432432432432433,0.9072,0.6577412630041031,0.9125746172398761,0.6,57,17,7,18
115,../logs/pretrain/165/regression_output_epoch_10_2020-07-07-16-15-59.csv,0.8237837837837838,0.8271999999999999,0.6522698385935342,0.8286212963687898,0.53125,52,22,8,17
116,../logs/pretrain/165/regression_output_epoch_20_2020-07-07-16-16-15.csv,0.8262162162162162,0.7784,0.6515529098942929,0.786094896336968,0.5666666666666667,56,18,8,17
117,../logs/pretrain/165/regression_output_epoch_30_2020-07-07-16-16-30.csv,0.8286486486486486,0.7392,0.6431237381617456,0.7424406205716374,0.5666666666666667,56,18,8,17
118,../logs/pretrain/165/regression_output_epoch_40_2020-07-07-16-16-46.csv,0.8254054054054054,0.7807999999999999,0.6434334741728238,0.7885467671510492,0.6,57,17,7,18
119,../logs/pretrain/165/regression_output_epoch_50_2020-07-07-16-17-01.csv,0.8264864864864865,0.888,0.636180797103773,0.8939832595091994,0.5517241379310344,57,17,9,16
120,../logs/pretrain/166/regression_output_epoch_10_2020-07-07-16-25-35.csv,0.8702702702702703,0.8784,0.7066577855940972,0.8817590326111988,0.6451612903225806,57,17,5,20
121,../logs/pretrain/166/regression_output_epoch_20_2020-07-07-16-26-01.csv,0.8724324324324324,0.8608,0.7027088827670211,0.8422691669156941,0.6774193548387097,58,16,4,21
122,../logs/pretrain/166/regression_output_epoch_30_2020-07-07-16-26-27.csv,0.8713513513513513,0.8223999999999999,0.6933485727777103,0.7919597488153898,0.7000000000000001,60,14,4,21
123,../logs/pretrain/166/regression_output_epoch_40_2020-07-07-16-26-53.csv,0.8724324324324324,0.904,0.6884807949705822,0.9033342502909008,0.7000000000000001,60,14,4,21
124,../logs/pretrain/166/regression_output_epoch_50_2020-07-07-16-27-20.csv,0.8735135135135135,0.9119999999999999,0.6867235513170653,0.9152282835585912,0.6551724137931034,60,14,6,19
125,../logs/pretrain/167/regression_output_epoch_10_2020-07-07-16-46-34.csv,0.8578378378378378,0.8464,0.6620669744018004,0.8358595213407367,0.6666666666666667,57,17,4,21
126,../logs/pretrain/167/regression_output_epoch_20_2020-07-07-16-46-49.csv,0.8594594594594595,0.808,0.6730260234488838,0.7909770550846063,0.6349206349206348,56,18,5,20
127,../logs/pretrain/167/regression_output_epoch_30_2020-07-07-16-47-04.csv,0.8589189189189189,0.9567999999999999,0.6692398417552268,0.9583521682571167,0.6333333333333332,58,16,6,19
128,../logs/pretrain/167/regression_output_epoch_40_2020-07-07-16-47-19.csv,0.8572972972972973,0.8256,0.6693323283184288,0.8132737236272072,0.6206896551724138,59,15,7,18
129,../logs/pretrain/167/regression_output_epoch_50_2020-07-07-16-47-35.csv,0.8567567567567568,0.8288,0.6673622727665296,0.8107772916820171,0.631578947368421,60,14,7,18
130,../logs/pretrain/168/regression_output_epoch_10_2020-07-07-16-42-35.csv,0.8789189189189189,0.92,0.7267281318971597,0.9022080040643778,0.6666666666666667,55,19,3,22
131,../logs/pretrain/168/regression_output_epoch_20_2020-07-07-16-42-52.csv,0.8789189189189189,0.9071999999999999,0.7268980720411062,0.9114155571831752,0.6984126984126985,58,16,3,22
132,../logs/pretrain/168/regression_output_epoch_30_2020-07-07-16-43-08.csv,0.8756756756756756,0.864,0.7110849383683816,0.8441405089068366,0.7096774193548386,59,15,3,22
133,../logs/pretrain/168/regression_output_epoch_40_2020-07-07-16-43-23.csv,0.874054054054054,0.8992,0.7001886507339597,0.8689392105546306,0.6885245901639344,59,15,4,21
134,../logs/pretrain/168/regression_output_epoch_50_2020-07-07-16-43-39.csv,0.8756756756756757,0.8144,0.7118321398565083,0.8148514035581067,0.6885245901639344,59,15,4,21
